query,retrieved_sources,no_retrieval_response,with_retrieval_response,what_improved
How long does standard delivery take?,shipping_policy.md; shipping_policy.md; returns_policy.md,Standard delivery typically takes 5-7 business days.,Standard delivery takes 5-7 business days from order confirmation.,"No change in correctness (both right) — retrieval adds the 'from order confirmation' qualifier verbatim from the source doc, i.e. traceable grounding rather than a memorized fact."
What are the shipping charges?,shipping_policy.md; shipping_policy.md; shipping_policy.md,"I'm sorry, but I don't have information about shipping charges. I recommend checking the website or contacting a human support representative for details on shipping costs.","The shipping charges are as follows:

- Orders above ₹499: free standard shipping.
- Orders ₹499 and below: a flat shipping charge of ₹49 applies.
- Express delivery has a flat charge of ₹99, regardless of order value.

Charges are shown at checkout before payment and are non-refundable once the order has shipped, even if the order is later cancelled or returned.","Fixes a real gap: no-retrieval correctly refuses to guess (v2's prompt never stated charges) but is unhelpful. With retrieval, the agent gives the exact threshold/charges from shipping_policy.md."
Can I return an item after 15 days?,returns_policy.md; returns_policy.md; refunds_policy.md,"Returns are only accepted within 15 days of delivery. If it's been longer than that, unfortunately, you won't be able to return the item. If you have any other questions or need further assistance, feel free to ask!","Items returned after 15 days of delivery are not eligible for a standard return, regardless of reason, unless the item falls under the damaged/defective category.",Both reach the same correct conclusion; with-retrieval additionally surfaces the damaged/defective exception clause from the source doc that v2's prompt never encoded.
How long does it take to receive a refund?,refunds_policy.md; refunds_policy.md; cancellations_policy.md,Refunds are processed within 5-7 business days after the returned item is received and inspected.,"Once a returned item is received and inspected at the warehouse, the refund is processed within 5-7 business days. For cancellations, refunds are also issued within 5-7 business days after cancellation.","Both correct on the core number; with-retrieval adds a grounded cross-reference to the cancellation refund timeline, showing retrieval can pull in relevant adjacent policy."
Can I cancel my order after it has been shipped?,cancellations_policy.md; cancellations_policy.md; cancellations_policy.md,"No, you cannot cancel your order after it has been shipped. Once an order is shipped, you will need to use the return process if you wish to return the item.","No, once an order has shipped, it can no longer be cancelled. You will need to wait for delivery and then use the standard return process instead.","No material difference — this fact was already in v2's hardcoded prompt, so retrieval doesn't change the outcome here (expected: retrieval helps most where the baseline prompt had gaps)."
My product arrived damaged. What should I do?,returns_policy.md; faq.md; returns_policy.md,"I'm sorry to hear that your product arrived damaged. In this case, you should initiate a return within 15 days of delivery. Please ensure the item is unused and in its original packaging. Once you return the damaged item, a refund will be processed within 5-7 business days after it is received and inspected. If you need assistance with the return process, please let me know!","If your product arrived damaged, you need to report it within 48 hours of delivery and provide photos of the damage. Once your damaged report is verified, you will be offered a free replacement or a full refund.","ROOT-CAUSE FIX: no-retrieval misapplies the 15-day/unused/original-packaging return policy to a damaged item (wrong policy — Phase 3 had no damaged-product policy to draw on, so it guessed from the closest thing it knew). With retrieval, the agent correctly cites the 48-hour damage-report policy instead. This is the clearest before/after correctness bug fixed by grounding."
"my order hasn't shown up yet, its been a week",shipping_policy.md; shipping_policy.md; shipping_policy.md,"I understand your concern about the delay in your order. Standard delivery typically takes 5-7 business days. If it has been a week, it may still be on its way. Could you please provide me with your order number or any specific details about your order? This will help me assist you better.","If your standard delivery has not arrived within 7 business days of the estimated delivery date, your order is eligible for a delay investigation with the carrier. Please check the tracking link first; if tracking shows no movement for more than 3 business days, I can escalate this to a human support representative for a carrier investigation. Would you like me to do that?","No-retrieval reassures generically ('may still be on its way') with no concrete next step. With-retrieval gives the actual delay-investigation policy (7-day threshold, check tracking, escalate if no movement 3+ days) and offers to escalate — directly actionable."
"I bought this 20 days ago and only just opened it, is it still returnable?",returns_policy.md; returns_policy.md; refunds_policy.md,"Returns are accepted within 15 days of delivery, and since you mentioned that you bought it 20 days ago, it would no longer be eligible for a return. If you have any further questions or need assistance, please let me know!","Based on the returns policy, items can be returned within 15 days of delivery. Since you mentioned that you bought it 20 days ago, it is no longer eligible for a standard return. If the item is damaged or defective, please let me know, and I can assist you further or escalate to a human support representative.","Both correctly conclude 'not eligible' (this was the Phase 2 baseline's original failure case, already fixed by Phase 3's v2 prompt). With-retrieval additionally offers the damaged/defective escape hatch grounded in the real policy."
Can you just process a refund for me right now?,refunds_policy.md; refunds_policy.md; returns_policy.md,"I'm unable to process refunds directly. However, I can provide information on our refund policy. Refunds are processed within 5-7 business days after the returned item is received and inspected. If you need assistance with a specific order, I recommend contacting a human support representative for further help.","I'm unable to process refunds directly. However, I can escalate your request to a human support representative who can assist you further. Would you like me to do that?","Both correctly refuse the out-of-scope transactional request; with-retrieval is more consistent about offering escalation explicitly, matching the safety requirement to escalate rather than dead-end the user."
"This is ridiculous, refund me now or I'm reporting you!",refunds_policy.md; returns_policy.md; faq.md,"I understand your frustration, but I can't process refunds directly. I recommend reaching out to a human support representative for assistance with your refund request. If you have questions about our refund policy or the process, feel free to ask!","I understand your frustration, but I can't process refunds directly. I can escalate your request to a human support representative who can assist you further. Would you like me to do that?",Both de-escalate gracefully and refuse to process the refund; with-retrieval again adds an explicit escalation offer rather than just pointing the user elsewhere.
